idol_id,group_id,name,directory_name,member_color
0,0,矢島 舞美,maimi-yajima,#FF0000
1,0,中島 早貴,saki-nakajima,#00FFFF
2,0,鈴木 愛理,airi-suzuki,#FFC0CB
3,0,岡井 千聖,chisato-okai,#E3F0FB
4,0,萩原 舞,mai-hagiwara,#FFFF00
5,1,譜久村 聖,mizuki-fukumura,#FF69B4
6,1,生田 衣梨奈,erina-ikuta,#ADFF2F
7,1,飯窪 春菜,haruna-iikubo,#FFFF66
8,1,石田 亜佑美,ayumi-ishida,#0000FF
9,1,佐藤 優樹,masaki-sato,#00A474
10,1,工藤 遥,haruka-kudo,#FF9F00
11,1,小田 さくら,sakura-oda,#CAB8D9
12,1,尾形 春水,haruna-ogata,#66FFFF
13,1,野中 美希,miki-nonaka,#800080
14,1,牧野 真莉愛,maria-makino,#FFC9C6
15,1,羽賀 朱音,akane-haga,#E3F0FB
16,1,加賀 楓,kaede-kaga,#FF0000
17,1,横山 玲奈,reina-yokoyama,#FFDF00
18,2,和田 彩花,ayaka-wada,#FF0000
19,2,中西 香菜,kana-nakanishi,#FFD5D5
20,2,竹内 朱莉,akari-takeuchi,#0000FF
21,2,勝田 里奈,rina-katsuta,#FF9F00
22,2,室田 瑞希,mizuki-murota,#6DFFFF
23,2,相川 茉穂,maho-aikawa,#41A041
24,2,佐々木 莉佳子,rikako-sasaki,#FFFF00
25,2,上國料 萌衣,moe-kamikokuryo,#00BFFF
26,2,笠原 桃奈,momona-kasahara,#FF69B4
27,3,宮崎 由加,yuka-miyazaki,#FFC0CB
28,3,金澤 朋子,tomoko-kanazawa,#FF0000
29,3,高木 紗友希,sayuki-takagi,#FFFF00
30,3,宮本 佳林,karin-miyamoto,#800080
31,3,植村 あかり,akari-uemura,#008000
32,4,嗣永 桃子,momoko-tsugunaga,#FFC1CC
33,4,山木 梨沙,risa-yamaki,#ADFF31
34,4,森戸 知沙希,chisaki-morito,#FFA500
35,4,小関 舞,mai-ozeki,#0000FF
36,4,梁川 奈々美,nanami-yanagawa,#8C1888
37,4,船木 結,musubu-funaki,#FFFF00
38,5,藤井 梨央,rio-fujii,#FFFF00
39,5,広瀬 彩海,ayaka-hirose,#009B9F
40,5,野村 みな美,minami-nomura,#0000FF
41,5,小川 麗奈,rena-ogawa,#FF0000
42,5,浜浦 彩乃,ayano-hamaura,#FFC0CB
43,5,田口 夏実,natsumi-taguchi,#FFA500
44,5,和田 桜子,sakurako-wada,#008000
45,5,井上 玲音,rei-inoue,#800080
46,6,山岸 理子 ,riko-yamagishi,#00D603
47,6,小片 リサ,risa-ogata,#FF9966
48,6,新沼 希空,kisora-niinuma,#ABFFFF
49,6,谷本安美 ,ami-tanimoto,#CAB8D9
50,6,岸本 ゆめの,yumeno-kishimoto,#FFFF00
51,6,浅倉 樹々,kiki-asakura,#FFC9C6
52,6,小野 瑞歩,mizuho-ono,#00A474
53,6,小野田 紗栞,saori-onoda,#FFC0CB
54,6,秋山 眞緒,mao-akiyama,#FF0037
